id,firstCapture
563521,20150418
563523,20150418
563524,20151017
563525,20151017
563526,20151017
563527,20151017
563528,20151022
563529,20151017
563530,20151017
563531,20151017
563532,20151017
563533,20150411
563534,20150411
563535,20150411
563536,20150411
563537,20150411
563538,20150411
563540,20150411
563541,20150411
563542,20150411
568715,20150605
568724,20150605
568727,20150605
568731,20150605
616876,20150505
616886,20150505
616893,20150505
617475,20150505
617486,20150505
617555,20150505
618220,20150505
618235,20150505
685799,20150626
685801,20150626
685802,20150626
685848,20150626
685849,20150626
685851,20150626
693462,20150626
693519,20150626
708976,20150711
713761,20250726
713897,20150711
713898,20150711
713899,20150711
713900,20150711
713901,20150711
721062,20201108
728269,20250815
732118,20150728
732119,20150728
732120,20150728
732121,20150728
732122,20150728
732123,20150728
732124,20150728
732125,20150728
732126,20150728
732127,20150728
732135,20150729
732194,20150728
739557,20150803
739558,20150803
739559,20150803
739560,20150803
739561,20150803
739562,20150803
745814,20150813
745875,20150813
745900,20150817
745901,20150817
745902,20150817
745903,20150817
745904,20150817
745905,20150817
745906,20150817
745907,20150817
745908,20150817
745909,20150817
745943,20150813
745954,20150813
746008,20150813
746058,20150813
746068,20150816
748599,20150813
748662,20150813
755702,20150816
755703,20150816
755704,20150816
755705,20150816
755706,20150816
755707,20150816
755708,20150816
755882,20150816
755904,20150816
770341,20150905
772037,20150905
772038,20150905
772039,20150905
772040,20150905
772041,20150905
773434,20150914
773482,20150914
773515,20150914
773520,20150908
773521,20150908
773522,20150908
773523,20150908
773524,20150908
773525,20150908
773526,20150908
773527,20150908
773528,20150907
773529,20150908
773530,20150908
773531,20150908
773532,20150908
773533,20150908
773534,20150908
773535,20150908
773536,20150908
773537,20150908
773538,20150907
773539,20150908
773540,20150908
773541,20150907
773542,20150907
773543,20150908
773544,20150908
773545,20150908
773546,20150908
773547,20150907
773548,20150907
773549,20150908
773550,20150908
773551,20150907
773552,20150907
773553,20150908
773554,20150908
773555,20150907
773556,20150907
773557,20150905
773558,20150907
773559,20150907
773560,20150907
773561,20150905
773562,20150906
773563,20150905
773564,20150906
773565,20150905
773566,20150906
773567,20150905
773568,20150905
773569,20150905
773570,20150905
773571,20150905
773572,20150905
773573,20150905
773574,20150905
773575,20150905
773576,20150905
773577,20150905
773578,20150906
773579,20150906
773580,20150905
773581,20150905
773582,20150906
773583,20150905
773584,20150907
773585,20150907
773586,20150905
773587,20150907
773588,20150909
773589,20150906
773590,20150907
773591,20150907
773592,20150905
773593,20150907
773594,20150907
773595,20150907
773596,20150907
773597,20150907
773598,20150906
773599,20150907
773600,20150907
773601,20150906
773602,20150907
773603,20150907
773604,20150907
773605,20150907
773606,20150906
773607,20150907
773608,20150907
773609,20150905
773610,20150908
773611,20150906
773612,20150908
780760,20150905
780761,20150905
780762,20150905
780763,20150905
780764,20150905
780765,20150905
780766,20150905
783230,20150906
783231,20150906
783232,20150905
783233,20150906
783234,20150906
783235,20150905
783236,20150905
783237,20150905
783238,20150905
783239,20150906
783240,20150907
783241,20150906
783242,20150907
783243,20150906
783244,20150906
783245,20150906
783246,20150907
783247,20150906
783248,20150907
783249,20150906
783250,20150905
783251,20150905
783252,20150905
783253,20150905
783254,20150906
783255,20150906
783256,20150906
783257,20150906
783258,20150905
783259,20150905
783260,20150905
783261,20150906
783262,20150906
783263,20150905
783264,20150905
783265,20150905
783266,20150906
783267,20150906
783268,20150906
783269,20150905
783270,20150906
783271,20150906
783272,20150905
783273,20150905
783274,20150905
783275,20150905
783276,20150905
783277,20150905
783278,20150905
783279,20150905
783280,20150905
783281,20150905
783282,20150905
783283,20150905
783284,20150905
783285,20150905
783286,20150905
783287,20150905
783288,20150905
783289,20150908
783290,20150907
783291,20150907
783292,20150908
783293,20150908
783294,20150908
783295,20150907
783296,20150908
783297,20150908
783298,20150907
783299,20150907
783300,20150907
783301,20150907
783302,20150907
783303,20150907
