id,first_capture
375314,20141020
375315,20141020
375316,20141020
375317,20141019
375318,20141020
375319,20141019
375320,20141019
375321,20141019
375322,20141020
375323,20141020
375324,20141020
375325,20141020
375326,20141020
375327,20141020
375328,20141020
375329,20141020
375330,20141020
375331,20141020
375332,20141020
375333,20141020
375334,20141020
375335,20141020
375336,20141020
375337,20141020
375338,20141020
375339,20141020
375340,20141020
375341,20141020
375342,20141020
375343,20141020
375344,20141020
375345,20141020
375346,20141020
375347,20141020
375348,20141020
375349,20141020
376880,20141016
376992,20141024
377918,20141027
379804,20150905
379805,20150905
379806,20150905
379807,20150905
379808,20150905
379809,20150905
379810,20150905
379811,20150908
379812,20150905
379813,20150905
379814,20150905
379815,20150905
379816,20150905
379817,20150905
379818,20150908
379819,20150908
379820,20150908
379821,20150908
379822,20150905
379823,20150905
379824,20150905
379825,20150905
379826,20150905
379827,20150905
379828,20150905
379829,20150908
379830,20150905
379831,20150908
379832,20150905
379891,20141024
381545,20141020
381578,20141021
381579,20141021
381580,20141021
381581,20141021
381582,20141021
381602,20141021
381603,20141021
381604,20141021
381605,20141021
383021,20141021
387341,20150505
387841,20150505
389686,20141108
390003,20141108
390081,20141108
391861,20141108
394173,20141029
394383,20141030
394394,20141202
394408,20141108
394472,20141108
394567,20141030
394675,20141117
394678,20141117
394681,20141117
394682,20141117
394683,20141117
394721,20141031
394724,20141108
394729,20141108
394730,20141030
404535,20141202
404869,20141201
410427,20150318
410428,20240629
410433,20150714
410434,20150714
410435,20141130
410436,20150714
410438,20150714
412137,20200627
412272,20150905
412273,20150905
412275,20150907
412276,20150908
412277,20150908
412439,20141113
413020,20150905
413278,20201108
415158,20141117
415159,20141117
415200,20141117
415201,20141117
415329,20141116
415330,20141116
415331,20141116
415694,20141114
415918,20141201
415934,20141201
416061,20141201
416421,20150907
417700,20150908
420078,20141203
420079,20141204
420080,20141204
420081,20141203
420082,20141203
420083,20141203
420084,20141203
420085,20141203
420086,20141203
420087,20141204
420088,20141204
420089,20141203
420090,20141203
420091,20141203
420092,20141203
420093,20141203
420094,20141203
420095,20141203
420096,20141203
420097,20141204
420098,20141203
420099,20141203
420100,20141204
420101,20141203
420102,20141204
420103,20141204
420104,20141203
420105,20141203
420106,20141204
420107,20141204
420108,20141204
420109,20141203
420110,20141204
420111,20141203
420112,20141203
420113,20141204
420114,20141203
